"run_id","block","engine","language","corpus","k","iters","threads","rep","fit_sec","wall_sec","max_rss_kb","r2","coherence_mean","coherence_median","coherence_sd","version"
"text2vec__20ng__k100__i200__t2__r1","threads","text2vec","R","20ng",100,200,2,1,45.207,49.1,409980,0.53156918901,0.14616493189,0.12528108597,0.089156973014,"0.6.6"
"text2vec__20ng__k100__i200__t4__r1","threads","text2vec","R","20ng",100,200,4,1,45.092,48.92,409864,0.53156918901,0.14616493189,0.12528108597,0.089156973014,"0.6.6"
"text2vec__20ng__k100__i200__t8__r1","threads","text2vec","R","20ng",100,200,8,1,45.158,49.08,409300,0.53156918901,0.14616493189,0.12528108597,0.089156973014,"0.6.6"
"text2vec__20ng__k100__i200__t12__r1","threads","text2vec","R","20ng",100,200,12,1,45.001,48.86,409532,0.53156918901,0.14616493189,0.12528108597,0.089156973014,"0.6.6"
"text2vec__20ng__k100__i500__t1__r1","frontier","text2vec","R","20ng",100,500,1,1,108.936,112.66,409956,0.54240448488,0.15902241024,0.14346736515,0.086434755461,"0.6.6"
"textmineR__20ng__k100__i20__t1__r1","frontier","textmineR","R","20ng",100,20,1,1,182.407,202.37,420832,0.5147935517,0.14289714007,0.12498951383,0.090907416624,"3.0.6"
"textmineR__20ng__k100__i50__t1__r1","frontier","textmineR","R","20ng",100,50,1,1,431.815,451.73,410224,0.53233043635,0.1539787529,0.1360459237,0.085216235509,"3.0.6"
"textmineR__20ng__k100__i100__t1__r1","frontier","textmineR","R","20ng",100,100,1,1,845.223,865.06,430364,0.54187025784,0.15710589527,0.14018965648,0.075294579571,"3.0.6"
"textmineR__20ng__k100__i200__t1__r1","frontier","textmineR","R","20ng",100,200,1,1,2326.325,2346.78,429244,0.54807534943,0.161777044,0.14908787555,0.077996863142,"3.0.6"
"textmineR__20ng__k100__i200__t2__r1","threads","textmineR","R","20ng",100,200,2,1,1666.327,1685.92,465288,0.54807534943,0.161777044,0.14908787555,0.077996863142,"3.0.6"
